artist,name,url,yt_links,Genre
21 Savage,Ghostface Killers (feat. Travis Scott),https://www.last.fm/music/21+Savage/_/Ghostface+Killers+(feat.+Travis+Scott),https://www.youtube.com/watch?v=bmc890o0yYY,rap
Phil Collins,In The Air Tonight - 2015 Remastered,https://www.last.fm/music/Phil+Collins/_/In+The+Air+Tonight+-+2015+Remastered,https://www.youtube.com/watch?v=YkADj0TPrJA,pop
The Beach Boys,God Only Knows - Mono / 1997 Remastered,https://www.last.fm/music/The+Beach+Boys/_/God+Only+Knows+-+Mono+%2F+1997+Remastered,https://www.youtube.com/watch?v=CWPo5SC3zik,pop
Ken Car$on,Yale,https://www.last.fm/music/Ken+Car$on/_/Yale,https://www.youtube.com/watch?v=kpuy4BEU644,rap
Ive,Take It,https://www.last.fm/music/Ive/_/Take+It,https://www.youtube.com/watch?v=4pjWi5POJvI,vocalists
Selena Gomez,Fetish (feat. Gucci Mane),https://www.last.fm/music/Selena+Gomez/_/Fetish+(feat.+Gucci+Mane),https://www.youtube.com/watch?v=R38q_C4NApE,pop
Ashnikko,STUPID (feat. Yung Baby Tate),https://www.last.fm/music/Ashnikko/_/STUPID+(feat.+Yung+Baby+Tate),https://www.youtube.com/watch?v=VbQrhOWkonk,pop
The Red Jumpsuit Apparatus,Face Down,https://www.last.fm/music/The+Red+Jumpsuit+Apparatus/_/Face+Down,https://www.youtube.com/watch?v=6Ux6SlOE9Qk,rock
Shaggy,It Wasn't Me,https://www.last.fm/music/Shaggy/_/It+Wasn%27t+Me,https://www.youtube.com/watch?v=sTMgX1PDGAE,pop
Clinton Kane,I GUESS I'M IN LOVE,https://www.last.fm/music/Clinton+Kane/_/I+GUESS+I%27M+IN+LOVE,https://www.youtube.com/watch?v=Yb0ZGvccOAY,pop
H.E.R.,Could've Been (feat. Bryson Tiller),https://www.last.fm/music/H.E.R./_/Could%27ve+Been+(feat.+Bryson+Tiller),https://www.youtube.com/watch?v=4hYCmPBlmwc,pop
Hole,Celebrity Skin,https://www.last.fm/music/Hole/_/Celebrity+Skin,https://www.youtube.com/watch?v=O3dWBLoU--E,rock
